Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.88142515,-80.14646132,58:45.7,10/21/21,10,1.216,37.18,-7.117706431,0.89,52.7,48.42,1.91,-0.01,36.6,0.01,3.34,3.35,92,25,510.8,16.2,-1.5,D,1339.2,0,292.411,1,1.11,154,42.97,-80.14446913,25.88334941,0,0,1,N,0.000193,68,68,11,105,105,42.95941,0,9999.99,3.35,3.477,2,9,29.9,0,29.89999962,46.6,1557.38738,10/21/21,10:34:58,26.7,68.37,46.6,1.192,7.95,-56.5,-4.8,1.6,7648,93.3,5.76,12.8,
25.88142946,-80.14645852,58:46.7,10/21/21,10,1.017,37.18,-7.117706431,0.89,52.2,47.92,0.66,-0.72,36.6,0.0,3.23,3.23,92,25,510.8,16.2,-1.5,D,1339.2,0,291.869,1,1.08,154,42.99,-80.14446913,25.88334941,0,0,1,N,0.1202386,61,61,11,111,111,43.82194,0,9999.99,3.24,3.367,2,9,29.9,0,29.89999962,46.61,1557.39763,10/21/21,10:34:59,26.69,68.37,46.61,1.221,7.95,-56.5,-2.4,0.0,-3366,93.4,5.76,12.9,
25.88143354,-80.14645389,58:47.7,10/21/21,10,1.204,37.18,-7.117706431,0.89,48.9,44.63,1.87,-1.68,36.6,0.0,3.22,3.22,92,25,510.8,16.2,-1.5,D,1339.2,0,291.222,1,1.08,154,42.99,-80.14446913,25.88334941,0,0,1,N,0.0843,68,68,11,123,123,43.56429,0,9999.99,3.24,3.367,2,9,29.9,0,29.89999962,37.25,1547.61167,10/21/21,10:35:00,26.7,56.14,37.25,1.263,7.95,-56.5,-5.7,-6.8,3456,93.4,6.07,12.7,
25.88143778,-80.14645071,58:48.7,10/21/21,10,1.157,37.18,-7.117706431,0.89,45.1,40.82,1.57,-8.5,36.5,0.0,3.29,3.3,92,25,510.8,16.2,-1.5,D,1339.2,0,290.66,1,1.04,154,43.0,-80.14446913,25.88334941,0,0,1,N,0.1717062,69,69,11,144,144,44.19031,0,9999.99,3.3,3.427,2,9,29.9,0,29.89999962,43.81,1554.46767,10/21/21,10:35:01,26.7,64.77,43.81,1.146,7.95,-56.5,-4.1,-2.4,26124,93.4,5.85,12.9,
25.88144203,-80.14644639,58:49.7,10/21/21,10,1.199,37.18,-7.117706431,0.89,50.2,45.92,0.42,-4.86,36.6,0.01,3.23,3.24,92,25,510.8,16.2,-1.5,D,1344.2,0,290.019,1,1.11,154,43.0,-80.14446913,25.88334941,0,0,1,N,0.1876167,55,55,11,113,113,44.3041,0,9999.99,3.22,3.347,2,9,29.8,0,29.79999924,46.6,1557.18872,10/21/21,10:35:02,26.69,68.36,46.6,1.21,7.96,-56.6,-4.5,-1.5,-3582,93.4,5.76,12.9,
25.88144654,-80.14644533,58:50.7,10/21/21,10,1.028,18.63,-7.117706431,0.89,51.5,47.22,-1.02,7.05,36.6,0.01,3.33,3.34,92,25,510.8,16.2,-1.5,D,1344.2,0,289.581,1,1.02,154,43.06,-80.14446913,25.88334941,0,0,1,N,0.4402379,55,55,11,126,126,46.11054,0,9999.99,3.35,3.477,2,9,29.8,0,29.79999924,45.37,1555.90081,10/21/21,10:35:03,26.68,66.78,45.37,1.359,7.95,-56.5,-5.0,-1.1,4984,93.5,5.81,13.0,
25.88145583,-80.14642917,58:54.8,10/21/21,10,1.154,18.63,-7.117706431,0.89,49.5,45.23,1.32,-5.8,36.6,0.0,3.3,3.3,92,25,510.7,16.2,-1.5,D,1370.2,0,287.716,1,1.01,154,42.97,-80.14446913,25.88334941,0,0,1,N,0.00717,65,65,11,118,118,43.01187,0,9999.99,3.29,3.417,2,9,29.8,0,29.79999924,46.4,1556.97862,10/21/21,10:35:07,26.66,68.1,46.4,1.121,7.95,-56.5,-4.2,-0.7,-249,93.4,5.77,12.9,
25.88146746,-80.14641866,58:57.8,10/21/21,10,1.012,18.63,-7.117706431,0.89,54.2,49.91,1.81,-2.85,36.6,0.0,3.32,3.32,92,25,510.7,16.2,-1.5,D,1339.8,0,286.06,1,1.06,154,42.98,-80.14446913,25.88334941,0,0,1,N,0.0847,61,61,11,100,100,43.5666,0,9999.99,3.32,3.447,2,9,29.8,0,29.79999924,46.59,1557.17809,10/21/21,10:35:10,26.68,68.34,46.59,1.177,7.95,-56.5,-4.5,19.0,57885,93.5,5.77,12.9,
25.88147107,-80.1464169,58:58.8,10/21/21,10,0.786,18.63,-7.117706431,0.89,49.8,45.53,0.13,2.52,36.7,0.0,3.29,3.29,92,25,510.7,16.2,-1.5,D,1339.8,0,285.646,1,1.04,154,43.01,-80.14446913,25.88334941,0,0,1,N,0.2216065,58,58,11,123,123,44.54709,0,9999.99,3.3,3.427,2,9,29.8,0,29.79999924,37.44,1547.60472,10/21/21,10:35:12,26.68,56.4,37.44,1.293,7.95,-56.5,-5.3,-1.5,283,93.6,6.08,12.8,
25.88147267,-80.14641367,58:59.8,10/21/21,10,1.173,18.63,-7.117706431,0.89,54.6,50.3,-0.96,1.8,36.7,0.01,3.25,3.25,92,24,510.7,16.2,-1.4,D,1418.4,0,285.273,1,1.04,154,43.01,-80.14446913,25.88334941,0,0,1,N,0.2257314,51,51,11,104,104,44.57657,0,9999.99,3.27,3.397,2,9,29.8,0,29.79999924,37.44,1547.60472,10/21/21,10:35:12,26.68,56.4,37.44,1.293,7.95,-56.5,-5.3,-1.5,283,93.6,6.08,12.8,
